"X","X.1","X.2","Round.1","Round.1.1","X.3","Totals","Totals.1","Totals.2","Totals.3","Totals.4","Shooting","Shooting.1","Shooting.2","Per.Game","Per.Game.1","Per.Game.2","Per.Game.3","Advanced","Advanced.1","Advanced.2","Advanced.3","year"
"51","51","NJN","Christian Drejer","University of Florida","","","","","","","","","","","","","","","","","",4
"52","52","SAS","Romain Sato","Xavier University","","","","","","","","","","","","","","","","","",4
"53","53","MIA","Matt Freije\freijma01","Vanderbilt University","2","42","588","133","85","27",".293",".224",".714","14.0","3.2","2.0","0.6","-0.6","-.047","-6.3","-0.6",4
"54","54","DET","Rickey Paulding","University of Missouri","","","","","","","","","","","","","","","","","",4
"55","55","HOU","Luis Flores\florelu01","Manhattan College","1","16","77","35","3","11",".483",".500","1.000","4.8","2.2","0.2","0.7","0.0","-.020","-9.6","-0.1",4
"56","56","LAL","Marcus Douthit","Providence College","","","","","","","","","","","","","","","","","",4
"57","57","SAS","Sergei Karaulov\karause01","","","","","","","","","","","","","","","","","","",4
"58","58","MIN","Blake Stepp","Gonzaga University","","","","","","","","","","","","","","","","","",4
"59","59","IND","Rashad Wright","University of Georgia","","","","","","","","","","","","","","","","","",4
"1","1","MIL","Andrew Bogut\bogutan01","University of Utah","13","694","19728","6769","6057","1535",".535",".120",".556","28.4","9.8","8.7","2.2","50.3",".122","2.3","21.6",5
"2","2","ATL","Marvin Williams\willima02","University of North Carolina","14","1001","28672","10508","5307","1298",".444",".362",".806","28.6","10.5","5.3","1.3","62.5",".105","-0.2","13.0",5
"3","3","UTA","Deron Williams\willide01","University of Illinois at Urbana-Champaign","12","845","28865","13804","2619","6819",".445",".357",".822","34.2","16.3","3.1","8.1","77.3",".129","1.3","23.8",5
"4","4","NOH","Chris Paul\paulch01","Wake Forest University","14","932","32804","17334","4175","9040",".470",".370",".868","35.2","18.6","4.5","9.7","169.1",".247","7.3","77.3",5
"5","5","CHA","Raymond Felton\feltora01","University of North Carolina","14","960","28721","10822","2857","5082",".412",".328",".790","29.9","11.3","3.0","5.3","39.9",".067","-0.6","10.0",5
"6","6","POR","Martell Webster\webstma02","","10","580","13914","5056","1811","588",".418",".382",".791","24.0","8.7","3.1","1.0","24.7",".085","-0.7","4.6",5
"7","7","TOR","Charlie Villanueva\villach01","University of Connecticut","11","656","13578","6808","3019","549",".435",".341",".772","20.7","10.4","4.6","0.8","22.6",".080","-1.8","0.6",5
"8","8","NYK","Channing Frye\fryech01","University of Arizona","13","884","19726","7762","3997","862",".441",".387",".822","22.3","8.8","4.5","1.0","39.0",".095","-0.2","8.9",5
"9","9","GSW","Ike Diogu\dioguik01","Arizona State University","6","225","2795","1348","689","69",".509",".500",".786","12.4","6.0","3.1","0.3","6.5",".112","-4.8","-2.0",5
"10","10","LAL","Andrew Bynum\bynuman01","","8","418","10690","4822","3221","490",".556",".111",".690","25.6","11.5","7.7","1.2","37.4",".168","1.3","9.0",5
"11","11","ORL","Fran Vazquez\vazqufr01","","","","","","","","","","","","","","","","","","",5
"12","12","LAC","Yaroslav Korolev\korolya01","","2","34","168","39","16","13",".283",".250",".625","4.9","1.1","0.5","0.4","-0.1","-.024","-6.4","-0.2",5
"13","13","CHA","Sean May\mayse01","University of North Carolina","4","119","1868","821","481","115",".458",".231",".746","15.7","6.9","4.0","1.0","2.6",".068","-2.4","-0.2",5
"14","14","MIN","Rashad McCants\mccanra01","University of North Carolina","4","249","5037","2479","506","331",".431",".368",".741","20.2","10.0","2.0","1.3","3.6",".035","-2.5","-0.6",5
"15","15","NJN","Antoine Wright\wrighan01","Texas A&M University","6","297","5714","1614","681","295",".412",".304",".674","19.2","5.4","2.3","1.0","3.1",".026","-3.1","-1.5",5
"16","16","TOR","Joey Graham\grahajo01","Oklahoma State University","6","377","6117","2239","1058","207",".483",".300",".815","16.2","5.9","2.8","0.5","7.8",".061","-3.8","-2.8",5
"17","17","IND","Danny Granger\grangda01","University of New Mexico","10","586","18487","9855","2888","1097",".434",".380",".848","31.5","16.8","4.9","1.9","48.5",".126","1.5","16.1",5
"18","18","BOS","Gerald Green\greenge01","","12","644","12809","6303","1612","593",".418",".360",".816","19.9","9.8","2.5","0.9","18.0",".067","-2.5","-1.5",5
"19","19","MEM","Hakim Warrick\warriha01","Syracuse University","8","526","10624","4947","2117","400",".490",".191",".726","20.2","9.4","4.0","0.8","20.4",".092","-3.1","-2.9",5
"20","20","DEN","Julius Hodge\hodgeju01","North Carolina State University","2","23","98","28","15","18",".440","",".500","4.3","1.2","0.7","0.8","0.0",".003","-4.5","-0.1",5
"21","21","PHO","Nate Robinson\robinna01","University of Washington","11","618","13878","6807","1446","1826",".423",".360",".796","22.5","11.0","2.3","3.0","27.8",".096","0.2","7.8",5
"22","22","DEN","Jarrett Jack\jackja01","Georgia Institute of Technology","13","867","24140","9349","2487","3952",".440",".343",".855","27.8","10.8","2.9","4.6","36.8",".073","-1.2","5.1",5
"23","23","SAC","Francisco Garcia\garcifr01","University of Louisville","10","549","11853","4323","1400","747",".427",".357",".799","21.6","7.9","2.6","1.4","18.2",".074","-0.3","4.9",5
"24","24","HOU","Luther Head\headlu01","University of Illinois at Urbana-Champaign","6","348","7797","2842","845","747",".423",".388",".773","22.4","8.2","2.4","2.1","14.7",".090","-0.4","3.2",5
"25","25","SEA","Johan Petro\petrojo01","","8","473","7262","2202","1836","227",".462",".154",".678","15.4","4.7","3.9","0.5","5.5",".037","-4.2","-4.0",5
"26","26","DET","Jason Maxiell\maxieja01","University of Cincinnati","10","618","11379","3481","2576","266",".495",".000",".564","18.4","5.6","4.2","0.4","20.3",".086","-2.0","0.1",5
"27","27","POR","Linas Kleiza\kleizli01","University of Missouri","7","409","8185","3561","1470","321",".435",".335",".763","20.0","8.7","3.6","0.8","13.6",".080","-2.4","-0.9",5
"28","28","SAS","Ian Mahinmi\mahinia01","","11","577","9492","2911","2466","307",".539",".050",".611","16.5","5.0","4.3","0.5","24.7",".125","-0.3","4.0",5
"29","29","MIA","Wayne Simien\simiewa01","University of Kansas","2","51","507","169","99","11",".469","",".854","9.9","3.3","1.9","0.2","0.9",".083","-4.8","-0.4",5
"30","30","NYK","David Lee\leeda02","University of Florida","12","829","24293","11232","7320","1825",".535",".034",".772","29.3","13.5","8.8","2.2","76.0",".150","1.6","22.3",5
"31","31","ATL","Salim Stoudamire\stoudsa01","University of Arizona","3","157","2672","1260","214","164",".407",".366",".882","17.0","8.0","1.4","1.0","2.2",".040","-5.1","-2.1",5
"32","32","LAC","Daniel Ewing\ewingda01","Duke University","2","127","1683","431","158","174",".389",".295",".780","13.3","3.4","1.2","1.4","0.8",".024","-3.7","-0.7",5
"33","33","NOH","Brandon Bass\bassbr01","Louisiana State University","12","758","16410","6575","3448","608",".499",".207",".832","21.6","8.7","4.5","0.8","42.8",".125","-1.1","3.7",5
"34","34","UTA","C.J. Miles\milescj01","","14","833","17006","7986","1989","899",".411",".358",".809","20.4","9.6","2.4","1.1","29.7",".084","-1.0","4.2",5
"35","35","POR","Ricky Sanchez","","","","","","","","","","","","","","","","","","",5
"36","36","MIL","Ersan Ilyasova\ilyaser01","","11","730","17519","7785","4265","847",".443",".366",".774","24.0","10.7","5.8","1.2","44.5",".122","-0.1","8.4",5
"37","37","LAL","Ronny Turiaf\turiaro01","Gonzaga University","10","473","8020","2209","1757","618",".533",".000",".636","17.0","4.7","3.7","1.3","19.2",".115","1.0","6.0",5
"38","38","ORL","Travis Diener\dienetr01","Marquette University","5","179","2660","854","243","432",".388",".353",".847","14.9","4.8","1.4","2.4","5.6",".102","-1.8","0.1",5
"39","39","LAL","Von Wafer\wafervo01","Florida State University","6","200","2475","1054","234","146",".420",".325",".751","12.4","5.3","1.2","0.7","3.3",".064","-3.2","-0.7",5
"40","40","GSW","Monta Ellis\ellismo01","","12","833","29011","14858","2874","3856",".451",".314",".772","34.8","17.8","3.5","4.6","41.9",".069","-0.3","12.3",5
"41","41","TOR","Roko Ukic\ukicro01","","2","85","987","341","78","165",".387",".189",".746","11.6","4.0","0.9","1.9","-0.2","-.007","-5.4","-0.8",5
"42","42","GSW","Chris Taft\taftch01","University of Pittsburgh","1","17","144","47","36","2",".605","",".167","8.5","2.8","2.1","0.1","0.5",".155","-1.3","0.0",5
"43","43","NJN","Mile Ilic\ilicmi01","","1","5","6","0","1","0",".000","","","1.2","0.0","0.2","0.0","-0.2","-1.264","-53.6","-0.1",5
"44","44","ORL","Martynas Andriuskevicius\andrima01","","1","6","9","0","4","0",".000","","","1.5","0.0","0.7","0.0","0.0",".155","0.1","0.0",5
"45","45","PHI","Louis Williams\willilo02","","14","921","22611","12997","2009","3015",".420",".348",".839","24.6","14.1","2.2","3.3","58.4",".124","0.2","12.7",5
"46","46","IND","Erazem Lorbek\lorbeer01","","","","","","","","","","","","","","","","","","",5
"47","47","MIN","Bracey Wright\wrighbr02","Indiana University","2","26","325","129","39","20",".405",".324",".794","12.5","5.0","1.5","0.8","0.5",".068","-3.7","-0.1",5
"48","48","SEA","Mickael Gelabale\gelabmi01","","3","145","2348","670","330","115",".470",".316",".815","16.2","4.6","2.3","0.8","3.0",".062","-1.9","0.0",5
"49","49","WAS","Andray Blatche\blatcan01","","9","564","12462","5706","3024","798",".467",".237",".725","22.1","10.1","5.4","1.4","19.2",".074","-0.3","5.4",5
"50","50","BOS","Ryan Gomes\gomesry01","Providence College","8","487","13463","4926","2239","712",".445",".349",".799","27.6","10.1","4.6","1.5","19.4",".069","-1.3","2.3",5
"51","51","UTA","Robert Whaley\whalero01","Walsh University","1","23","212","49","43","17",".404","",".500","9.2","2.1","1.9","0.7","0.0",".004","-3.5","-0.1",5
"52","52","DEN","Axel Hervelle\herveax01","","","","","","","","","","","","","","","","","","",5
"53","53","BOS","Orien Greene\greenor01","University of Louisiana at Lafayette","4","131","1555","326","195","155",".387",".212",".642","11.9","2.5","1.5","1.2","-0.7","-.022","-3.8","-0.7",5
"54","54","NYK","Dijon Thompson\thompdi01","University of California Los Angeles","2","16","93","45","19","3",".425",".308",".875","5.8","2.8","1.2","0.2","0.2",".102","-4.3","-0.1",5
"55","55","SEA","Lawrence Roberts\roberla01","Mississippi State University","2","87","1150","334","310","35",".452",".000",".688","13.2","3.8","3.6","0.4","2.5",".106","-1.4","0.2",5
"56","56","DET","Amir Johnson\johnsam01","","14","858","18166","6049","4643","1058",".571",".339",".672","21.2","7.1","5.4","1.2","55.0",".145","2.5","20.8",5
"57","57","PHO","Marcin Gortat\gortama01","","12","806","20691","7951","6407","915",".551",".150",".680","25.7","9.9","7.9","1.1","61.3",".142","0.7","14.2",5
"58","58","TOR","Uros Slokar\slokaur01","","1","20","72","38","14","1",".538",".500",".692","3.6","1.9","0.7","0.1","0.1",".042","-7.0","-0.1",5
"59","59","ATL","Cenk Akyol\akyolce01","","","","","","","","","","","","","","","","","","",5
"60","60","DET","Alex Acker\ackeral01","Pepperdine University","2","30","234","81","29","16",".370",".320",".500","7.8","2.7","1.0","0.5","-0.2","-.043","-6.9","-0.3",5
"1","1","TOR","Andrea Bargnani\bargnan01","","10","550","15806","7873","2541","653",".439",".354",".824","28.7","14.3","4.6","1.2","18.9",".057","-2.2","-0.9",6
"2","2","CHI","LaMarcus Aldridge\aldrila01","University of Texas at Austin","13","933","32171","18212","7791","1821",".490",".284",".810","34.5","19.5","8.4","2.0","104.3",".156","1.4","27.4",6
"3","3","CHA","Adam Morrison\morriad01","Gonzaga University","3","161","3278","1200","342","222",".373",".331",".710","20.4","7.5","2.1","1.4","-1.4","-.021","-5.5","-2.9",6
"4","4","POR","Tyrus Thomas\thomaty01","Louisiana State University","8","402","7932","3093","1938","347",".438",".235",".732","19.7","7.7","4.8","0.9","13.0",".078","-1.1","1.7",6
"5","5","ATL","Shelden Williams\willish02","Duke University","6","361","5586","1618","1562","163",".462",".222",".740","15.5","4.5","4.3","0.5","9.9",".085","-2.8","-1.2",6
"6","6","MIN","Brandon Roy\roybr01","University of Washington","6","326","11561","6136","1388","1517",".459",".348",".800","35.5","18.8","4.3","4.7","37.4",".155","3.2","15.2",6
"7","7","BOS","Randy Foye\foyera01","Villanova University","11","752","19279","7729","1686","2112",".401",".366",".852","25.6","10.3","2.2","2.8","23.5",".058","-1.3","3.4",6
"8","8","HOU","Rudy Gay\gayru01","University of Connecticut","13","864","29502","15284","5092","1926",".456",".348",".797","34.1","17.7","5.9","2.2","54.3",".088","0.5","18.8",6
"9","9","GSW","Patrick O'Bryant\obryapa01","Bradley University","4","90","524","186","127","25",".494",".000",".583","5.8","2.1","1.4","0.3","0.5",".046","-3.1","-0.2",6
"10","10","SEA","Mouhamed Sene\senesa01","","3","47","260","103","75","1",".427","",".589","5.5","2.2","1.6","0.0","0.3",".052","-9.3","-0.5",6
"11","11","ORL","J.J. Redick\redicjj01","Duke University","13","819","21129","10468","1640","1649",".448",".412",".891","25.8","12.8","2.0","2.0","57.3",".130","0.0","10.7",6
"12","12","NOK","Hilton Armstrong\armsthi01","University of Connecticut","6","292","3378","880","766","102",".501",".286",".582","11.6","3.0","2.6","0.3","3.9",".055","-2.8","-0.7",6
"13","13","PHI","Thabo Sefolosha\sefolth01","","13","811","18358","4813","3118","1157",".450",".352",".735","22.6","5.9","3.8","1.4","38.0",".099","1.1","14.3",6
"14","14","UTA","Ronnie Brewer\brewero02","University of Arkansas","8","502","11539","3940","1427","828",".490",".254",".675","23.0","7.8","2.8","1.6","30.4",".127","1.7","10.7",6
"15","15","NOK","Cedric Simmons\simmoce01","North Carolina State University","3","75","705","163","141","14",".409","",".390","9.4","2.2","1.9","0.2","0.1",".005","-5.7","-0.7",6
"16","16","CHI","Rodney Carney\carnero01","University of Memphis","5","299","4600","1778","588","132",".422",".338",".704","15.4","5.9","2.0","0.4","6.2",".064","-2.7","-0.8",6
"17","17","IND","Shawne Williams\willish03","University of Memphis","7","314","5368","1769","945","220",".403",".339",".755","17.1","5.6","3.0","0.7","6.7",".060","-2.0","0.0",6
"18","18","WAS","Oleksiy Pecherov\pecheol01","","3","111","1044","438","266","20",".386",".290",".793","9.4","3.9","2.4","0.2","0.5",".025","-7.0","-1.3",6
"19","19","SAC","Quincy Douby\doubyqu01","Rutgers University","3","143","1535","588","152","93",".389",".312",".884","10.7","4.1","1.1","0.7","0.0",".000","-5.4","-1.3",6
"20","20","NYK","Renaldo Balkman\balkmre01","University of South Carolina","6","221","3064","894","769","132",".510",".172",".542","13.9","4.0","3.5","0.6","7.2",".113","0.9","2.2",6
"21","21","PHO","Rajon Rondo\rondora01","University of Kentucky","13","809","25599","8418","3901","6834",".462",".314",".605","31.6","10.4","4.8","8.4","57.9",".109","1.5","22.4",6
"22","22","NJN","Marcus Williams\willima03","University of Connecticut","4","203","3095","1128","361","574",".386",".321",".767","15.2","5.6","1.8","2.8","0.0","-.001","-4.6","-2.0",6
"23","23","NJN","Josh Boone\boonejo01","University of Connecticut","4","256","4482","1340","1258","125",".544","",".445","17.5","5.2","4.9","0.5","9.1",".097","-1.9","0.1",6
"24","24","MEM","Kyle Lowry\lowryky01","Villanova University","13","843","26372","12200","3579","5133",".424",".368",".805","31.3","14.5","4.2","6.1","85.7",".156","3.9","38.9",6
"25","25","CLE","Shannon Brown\brownsh01","Michigan State University","9","408","7329","3118","760","458",".420",".332",".807","18.0","7.6","1.9","1.1","9.2",".060","-2.3","-0.6",6
"26","26","LAL","Jordan Farmar\farmajo01","University of California Los Angeles","10","504","9840","3888","958","1453",".423",".374",".739","19.5","7.7","1.9","2.9","13.9",".068","-1.4","1.6",6
"27","27","PHO","Sergio Rodriguez\rodrise01","","5","353","5281","1747","525","1183",".409",".337",".739","15.0","4.9","1.5","3.4","4.3",".039","-3.2","-1.6",6
"28","28","DAL","Maurice Ager\agerma01","Michigan State University","4","82","505","169","46","19",".339",".250",".566","6.2","2.1","0.6","0.2","-0.9","-.089","-10.4","-1.1",6
"29","29","NYK","Mardy Collins\collima01","Temple University","4","189","2771","742","336","327",".380",".299",".599","14.7","3.9","1.8","1.7","-1.6","-.027","-4.9","-2.0",6
"30","30","POR","Joel Freeland\freeljo01","","3","151","1821","477","518","65",".459",".000",".728","12.1","3.2","3.4","0.4","3.2",".084","-2.5","-0.2",6
"31","31","POR","James White\whiteja02","University of Cincinnati","3","67","583","182","68","35",".438",".340",".676","8.7","2.7","1.0","0.5","0.8",".062","-3.4","-0.2",6
"32","32","HOU","Steve Novak\novakst01","Marquette University","11","467","5657","2177","591","132",".437",".430",".877","12.1","4.7","1.3","0.3","14.5",".123","-0.9","1.6",6
"33","33","ATL","Solomon Jones\jonesso01","University of South Florida","8","281","3092","839","654","99",".467",".111",".717","11.0","3.0","2.3","0.4","5.0",".078","-2.9","-0.7",6
"34","34","LAC","Paul Davis\davispa01","Michigan State University","4","82","702","217","158","32",".402",".000",".732","8.6","2.6","1.9","0.4","0.5",".035","-4.7","-0.5",6
"35","35","TOR","P.J. Tucker\tuckepj01","University of Texas at Austin","8","563","16137","4195","3232","805",".424",".361",".743","28.7","7.5","5.7","1.4","28.6",".085","0.8","11.5",6
"36","36","MIN","Craig Smith\smithcr01","Boston College","6","403","6826","3080","1567","322",".553",".037",".661","16.9","7.6","3.9","0.8","16.0",".113","-1.5","0.9",6
"37","37","MIN","Bobby Jones\jonesbo02","University of Washington","2","91","867","288","149","44",".442",".306",".685","9.5","3.2","1.6","0.5","1.1",".060","-3.5","-0.3",6
"38","38","GSW","Kosta Perovic\perovko01","","1","7","38","10","13","1",".300","",".667","5.4","1.4","1.9","0.1","0.0",".060","-6.7","0.0",6
"39","39","MIL","David Noel\noelda01","University of North Carolina","1","68","792","184","123","65",".367",".321",".860","11.6","2.7","1.8","1.0","0.4",".024","-3.4","-0.3",6
"40","40","SEA","Denham Brown","University of Connecticut","","","","","","","","","","","","","","","","","",6
"41","41","ORL","James Augustine\augusja01","University of Illinois at Urbana-Champaign","2","27","156","42","33","4",".514","",".500","5.8","1.6","1.2","0.1","0.3",".101","-2.2","0.0",6
"42","42","CLE","Daniel Gibson\gibsoda01","University of Texas at Austin","7","397","9316","3115","792","775",".402",".407",".780","23.5","7.8","2.0","2.0","16.0",".082","-1.0","2.3",6
"43","43","NOK","Marcus Vinicius\vincima01","","2","26","172","50","19","7",".457",".421",".556","6.6","1.9","0.7","0.3","0.2",".056","-3.6","-0.1",6
"44","44","ORL","Lior Eliyahu\eliyali01","","","","","","","","","","","","","","","","","","",6
"45","45","IND","Alexander Johnson\johnsal01","Florida State University","2","102","1302","439","275","30",".517","",".672","12.8","4.3","2.7","0.3","1.5",".056","-4.3","-0.7",6
"46","46","UTA","Dee Brown\brownde03","University of Illinois at Urbana-Champaign","2","68","711","140","69","119",".340",".250",".643","10.5","2.1","1.0","1.8","0.1",".008","-4.1","-0.4",6
"47","47","UTA","Paul Millsap\millspa01","Louisiana Tech University","13","927","27195","13093","6868","2123",".491",".333",".733","29.3","14.1","7.4","2.3","86.7",".153","3.2","35.9",6
"48","48","WAS","Vladimir Veremeenko\veremvl01","","","","","","","","","","","","","","","","","","",6
"49","49","DEN","Leon Powe\powele01","University of California","5","239","3320","1484","911","78",".515",".000",".682","13.9","6.2","3.8","0.3","12.0",".174","-2.3","-0.2",6
"50","50","CHA","Ryan Hollins\holliry01","University of California Los Angeles","10","518","6134","1913","1140","151",".584",".000",".649","11.8","3.7","2.2","0.3","10.4",".081","-2.6","-1.0",6
"51","51","LAL","Cheikh Samb\sambch01","","2","22","114","22","31","1",".250",".000",".444","5.2","1.0","1.4","0.0","-0.1","-.056","-9.2","-0.2",6
"52","52","LAC","Guillermo Diaz\diazgu01","University of Miami","1","6","18","5","2","1",".250",".000",".600","3.0","0.8","0.3","0.2","0.0",".033","-5.9","0.0",6
"53","53","SEA","Yotam Halperin\halpeyo01","","","","","","","","","","","","","","","","","","",6
"54","54","NJN","Hassan Adams\adamsha01","University of Arizona","2","73","547","185","84","14",".534",".000",".643","7.5","2.5","1.2","0.2","0.8",".072","-4.4","-0.3",6
"55","55","CLE","Ejike Ugboaja\ugboaej01","","","","","","","","","","","","","","","","","","",6
"56","56","TOR","Edin Bavcic\bavcied01","","","","","","","","","","","","","","","","","","",6
"57","57","MIN","Loukas Mavrokefalidis","","","","","","","","","","","","","","","","","","",6
"58","58","DAL","J.R. Pinnock","George Washington University","","","","","","","","","","","","","","","","","",6
"59","59","SAS","Damir Markota\markoda01","","1","30","170","51","31","6",".365",".375",".636","5.7","1.7","1.0","0.2","-0.2","-.070","-9.0","-0.3",6
"60","60","DET","Will Blalock\blalowi01","Iowa State University","1","14","166","25","15","17",".300",".200","1.000","11.9","1.8","1.1","1.2","-0.1","-.032","-5.7","-0.2",6
"1","1","POR","Greg Oden\odengr01","Ohio State University","3","105","2028","840","656","51",".574","",".658","19.3","8.0","6.2","0.5","7.3",".174","1.1","1.6",7
"2","2","SEA","Kevin Durant\duranke01","University of Texas at Austin","12","833","30806","22626","5923","3386",".492",".382",".882","37.0","27.2","7.1","4.1","139.6",".218","5.1","55.0",7
"3","3","ATL","Al Horford\horfoal01","University of Florida","12","772","25370","10876","6505","2479",".525",".367",".753","32.9","14.1","8.4","3.2","84.0",".159","3.2","33.4",7
"4","4","MEM","Mike Conley\conlemi01","Ohio State University","12","779","25390","11478","2295","4443",".440",".374",".819","32.6","14.7","2.9","5.7","69.6",".132","1.9","25.0",7
"5","5","BOS","Jeff Green\greenje02","Georgetown University","11","844","25415","11136","3833","1355",".441",".335",".804","30.1","13.2","4.5","1.6","39.8",".075","-1.3","4.4",7
"6","6","MIL","Yi Jianlian\jianlyi01","","5","272","6038","2148","1339","192",".404",".333",".780","22.2","7.9","4.9","0.7","3.1",".025","-4.7","-4.1",7
"7","7","MIN","Corey Brewer\breweco01","University of Florida","12","795","18467","7029","2227","1227",".425",".283",".713","23.2","8.8","2.8","1.5","21.9",".057","-1.0","4.6",7
"8","8","CHA","Brandan Wright\wrighbr03","University of North Carolina","10","428","6949","2976","1560","199",".607",".000",".674","16.2","7.0","3.6","0.5","26.2",".181","1.6","6.4",7
"9","9","CHI","Joakim Noah\noahjo01","University of Florida","12","660","18449","5800","5989","1878",".491",".000",".700","28.0","8.8","9.1","2.8","61.4",".160","4.1","28.3",7
"10","10","SAC","Spencer Hawes\hawessp01","University of Washington","10","684","15541","5932","3893","1271",".457",".350",".716","22.7","8.7","5.7","1.9","22.6",".070","-0.7","5.0",7
"11","11","ATL","Acie Law\lawac01","Texas A&M University","4","188","2385","725","195","309",".413",".235",".778","12.7","3.9","1.0","1.6","1.6",".032","-5.4","-2.0",7
"12","12","PHI","Thaddeus Young\youngth01","Georgia Institute of Technology","12","884","27147","11833","5285","1434",".501",".330",".672","30.7","13.4","6.0","1.6","58.7",".104","0.7","18.5",7
"13","13","NOK","Julian Wright\wrighju01","University of Kansas","4","231","3049","907","531","182",".499",".262",".584","13.2","3.9","2.3","0.8","3.9",".061","-1.3","0.5",7
"14","14","LAC","Al Thornton\thornal01","Florida State University","4","296","8274","3527","1233","353",".452",".293",".747","28.0","11.9","4.2","1.2","6.1",".035","-3.5","-3.1",7
"15","15","DET","Rodney Stuckey\stuckro01","Eastern Washington University","10","651","17890","8185","1912","2333",".423",".300",".824","27.5","12.6","2.9","3.6","28.7",".077","-1.4","2.7",7
"16","16","WAS","Nick Young\youngni01","University of Southern California","12","720","16419","8194","1427","687",".418",".376",".836","22.8","11.4","2.0","1.0","18.6",".054","-3.4","-5.8",7
"17","17","NJN","Sean Williams\willise01","Boston College","4","137","1978","581","472","47",".511",".000",".624","14.4","4.2","3.4","0.3","3.0",".073","-2.0","0.0",7
"18","18","GSW","Marco Belinelli\belinma01","","12","787","18298","7864","1625","1341",".426",".378",".846","23.3","10.0","2.1","1.7","29.5",".077","-1.6","1.9",7
"19","19","LAL","Javaris Crittenton\crittja01","Georgia Institute of Technology","2","113","1853","595","276","201",".442",".231",".638","16.4","5.3","2.4","1.8","0.1",".002","-4.3","-1.1",7
"20","20","MIA","Jason Smith\smithja02","Colorado State University","11","614","10009","3769","2071","452",".469",".335",".783","16.3","6.1","3.4","0.7","14.1",".068","-2.6","-1.6",7
"21","21","PHI","Daequan Cook\cookda02","Ohio State University","6","328","5993","2114","703","243",".369",".359",".813","18.3","6.4","2.1","0.7","4.9",".039","-3.6","-2.4",7
"22","22","CHA","Jared Dudley\dudleja01","Boston College","12","835","19431","6492","2745","1345",".464",".392",".730","23.3","7.8","3.3","1.6","41.3",".102","1.0","14.9",7
"23","23","NYK","Wilson Chandler\chandwi01","DePaul University","11","626","19327","8194","3382","1156",".445",".343",".768","30.9","13.1","5.4","1.8","28.3",".070","-0.7","6.3",7
"24","24","PHO","Rudy Fernandez\fernaru01","","4","249","5965","2254","608","554",".399",".360",".840","24.0","9.1","2.4","2.2","14.2",".114","1.8","5.7",7
"25","25","UTA","Morris Almond\almonmo01","Rice University","3","38","361","119","46","12",".381",".292",".743","9.5","3.1","1.2","0.3","0.0",".005","-6.4","-0.4",7
"26","26","HOU","Aaron Brooks\brookaa01","University of Oregon","10","645","13439","6259","1079","1925",".413",".370",".837","20.8","9.7","1.7","3.0","19.2",".069","-1.8","0.8",7
"27","27","DET","Arron Afflalo\afflaar01","University of California Los Angeles","11","762","20829","8198","2176","1386",".450",".386",".825","27.3","10.8","2.9","1.8","33.5",".077","-1.1","4.5",7
"28","28","SAS","Tiago Splitter\splitti01","","7","355","6812","2816","1779","423",".555",".143",".697","19.2","7.9","5.0","1.2","25.3",".178","1.9","6.7",7
"29","29","PHO","Alando Tucker\tuckeal02","University of Wisconsin","3","51","426","211","49","16",".423",".294",".783","8.4","4.1","1.0","0.3","0.4",".045","-6.7","-0.5",7
"30","30","PHI","Petteri Koponen\koponpe01","","","","","","","","","","","","","","","","","","",7
"31","31","SEA","Carl Landry\landrca01","Purdue University","9","513","11524","5541","2533","355",".535",".300",".785","22.5","10.8","4.9","0.7","35.9",".149","-1.1","2.6",7
"32","32","BOS","Gabe Pruitt\pruitga01","University of Southern California","2","62","461","125","51","52",".321",".283",".783","7.4","2.0","0.8","0.8","0.4",".043","-3.1","-0.1",7
"33","33","SAS","Marcus Williams\willima04","University of Arizona","2","13","39","14","12","3",".318","","","3.0","1.1","0.9","0.2","-0.1","-.084","-7.5","-0.1",7
"34","34","DAL","Nick Fazekas\fazekni01","University of Nevada Reno","1","26","269","107","89","11",".561",".000",".682","10.3","4.1","3.4","0.4","0.8",".148","-0.1","0.1",7
"35","35","SEA","Glen Davis\davisgl01","Louisiana State University","8","514","10865","4111","2236","457",".447",".182",".700","21.1","8.0","4.4","0.9","18.6",".082","-2.3","-0.8",7
"36","36","GSW","Jermareo Davidson\davidje01","University of Alabama","2","52","433","162","96","14",".425","",".578","8.3","3.1","1.8","0.3","0.0",".000","-7.6","-0.6",7
"37","37","POR","Josh McRoberts\mcrobjo01","Duke University","11","433","8271","2333","1686","901",".463",".340",".705","19.1","5.4","3.9","2.1","18.5",".107","1.0","6.2",7
"38","38","PHI","Kyrylo Fesenko\fesenky01","","5","135","1107","305","269","40",".496",".000",".410","8.2","2.3","2.0","0.3","0.9",".038","-4.0","-0.6",7
"39","39","MIA","Stanko Barac\baracst01","","","","","","","","","","","","","","","","","","",7
"40","40","LAL","Sun Yue\yuesu01","","1","10","28","6","0","2",".273",".000","","2.8","0.6","0.0","0.2","-0.1","-.226","-15.2","-0.1",7
"41","41","MIN","Chris Richard\richach01","University of Florida","2","70","780","135","194","25",".483","",".605","11.1","1.9","2.8","0.4","0.7",".045","-3.5","-0.3",7
"42","42","POR","Derrick Byars\byarsde01","Vanderbilt University","1","2","37","10","11","1",".273",".000","1.000","18.5","5.0","5.5","0.5","0.1",".147","0.6","0.0",7
"43","43","NOK","Adam Haluska","University of Iowa","","","","","","","","","","","","","","","","","",7
